src_employee,dst_employee,weight
E00602,E00597,0.99
E00048,E00248,0.78
E00336,E00943,0.62
E00031,E00718,0.37
E00665,E00108,0.26
E00894,E00224,1.0
E00553,E00977,0.52
E00671,E00594,0.39
E00186,E00655,0.32
E00682,E00646,0.55
E00222,E00304,0.62
E00841,E00484,0.11
E00320,E00263,0.6
E00643,E00777,0.94
E00298,E00342,0.68
E00489,E00240,0.74
E00078,E00396,0.43
E00591,E00714,0.41
E00263,E00386,0.77
E00035,E00830,0.43
E00222,E01054,0.18
E00043,E00414,0.98
E00442,E01068,0.64
E00353,E01104,0.93
E00362,E00410,0.74
E00668,E00415,0.3
E00496,E00181,0.27
E00346,E00148,0.47
E00493,E00808,0.68
E00549,E00646,0.66
E01040,E00106,0.68
E00037,E00285,0.52
E00146,E00571,0.7
E00879,E00513,0.51
E00731,E00177,0.45
E01037,E00367,0.5
E01134,E00655,0.54
E00436,E00258,0.66
E01079,E01117,0.8
E01180,E01145,0.35
E00703,E00426,0.73
E00241,E00297,0.83
E00061,E00661,0.86
E01056,E00030,0.69
E01046,E00055,0.45
E00118,E00107,0.81
E00094,E01155,0.45
E00433,E00184,0.13
E01179,E01079,0.16
E00020,E00879,0.3
E00584,E00690,0.57
E00103,E00521,0.89
E00623,E00347,0.41
E00346,E00393,0.99
E00674,E00759,0.42
E00327,E00577,0.38
E00899,E00681,0.89
E01041,E00598,0.37
E01085,E00366,0.19
E00457,E01020,0.14
E00290,E00054,0.25
E00565,E01151,0.27
E00253,E00216,0.82
E00126,E00059,0.37
E00060,E00550,0.61
E00782,E00473,0.95
E01146,E00635,0.18
E00136,E00177,0.7
E00645,E00019,0.94
E00620,E00800,0.6
E01139,E00446,0.91
E01013,E00796,0.39
E00477,E00617,0.38
E00413,E00781,0.96
E00167,E01036,0.8
E00666,E00428,0.52
E00953,E00455,0.58
E01013,E01027,0.74
E00155,E00832,0.43
E00310,E00902,0.67
E00185,E00254,0.95
E00455,E00879,0.37
E00945,E00909,0.61
E00854,E00911,0.96
E00754,E00801,0.19
E00312,E01069,0.39
E00207,E00255,0.29
E00510,E00514,0.73
E00204,E01148,0.85
E00777,E00317,0.41
E00540,E00433,0.13
E00023,E01177,0.94
E00936,E00635,0.86
E00464,E00441,0.78
E00845,E00820,0.19
E00363,E00779,0.44
E00776,E00735,0.74
E00413,E00263,0.15
E00136,E00800,0.63
E00509,E00532,0.41
E00815,E00535,0.56
E00973,E00901,0.22
E01053,E00869,0.76
E00830,E00290,0.73
E00579,E00725,0.68
E00337,E01174,0.65
E01005,E00092,0.17
E00336,E01146,0.94
E00761,E00658,0.74
E01131,E00396,0.8
E00816,E00207,0.79
E00276,E00931,0.46
E00415,E00473,0.71
E01174,E00713,0.15
E01106,E01095,0.79
E00270,E00459,0.39
E00825,E01130,0.11
E00091,E00179,0.98
E00424,E01054,0.52
E01176,E00606,0.77
E00796,E00881,0.26
E01139,E00654,0.61
E00456,E00594,0.85
E00265,E00493,0.29
E00877,E00074,0.52
E00297,E00785,0.32
E00984,E00488,0.45
E00710,E01097,0.26
E00397,E01013,0.67
E00644,E00594,0.54
E00102,E00944,0.97
E00316,E00597,0.25
E01156,E00658,0.5
E01096,E00692,0.9
E00211,E00277,0.23
E00132,E00397,0.74
E01171,E00569,0.79
E00762,E00226,0.9
E00698,E00184,0.18
E00050,E00584,0.31
E00005,E00091,0.41
E00996,E01198,0.31
E00645,E00304,0.11
E00278,E00428,0.67
E00960,E00956,0.55
E00694,E00606,0.56
E00739,E00292,0.59
E00381,E00378,0.83
E00504,E00713,0.77
E00037,E00621,0.11
E00072,E00617,0.62
E00345,E00377,0.46
E00922,E00188,0.54
E00285,E00064,0.64
E00339,E00753,0.66
E00778,E00722,0.79
E01087,E01086,0.25
E00511,E00964,0.63
E00924,E00439,0.62
E00987,E00762,0.2
E00103,E00902,0.6
E01089,E00059,0.47
E00424,E00562,0.49
E00247,E00715,0.21
E00801,E00147,0.3
E00723,E00444,0.21
E00487,E00905,0.83
E01069,E00056,0.33
E00797,E00307,0.55
E00876,E00239,0.73
E00431,E00277,0.99
E00329,E00081,1.0
E00517,E00024,0.11
E00147,E01116,0.98
E00631,E01045,0.46
E00150,E00699,0.61
E00966,E00397,0.51
E00045,E00872,0.48
E00374,E00350,0.58
E00992,E00237,0.99
E00009,E00757,0.27
E00107,E00830,0.96
E00135,E00083,0.37
E00273,E00857,0.6
E00459,E00539,0.21
E00412,E00320,0.54
E00110,E00722,0.98
E00828,E00829,0.69
E00931,E00982,0.8
E00243,E00539,0.57
E00684,E00590,0.77
E01180,E01025,0.74
E00573,E00815,0.47
E00478,E00479,0.48
E00873,E00429,0.14
E01161,E00721,0.99
E00070,E00923,0.66
E00480,E00364,0.74
E00236,E00663,0.88
E00584,E00181,0.95
E00774,E00559,0.64
E01067,E00669,0.91
E01041,E01143,0.13
E00812,E01168,0.63
E01154,E00537,0.58
E00125,E00823,0.11
E00028,E01124,0.83
E00408,E00138,0.43
E00449,E00103,0.77
E00931,E00472,0.86
E01018,E00823,0.68
E00968,E00849,0.9
E00761,E00697,0.87
E00079,E00255,0.49
E00173,E00817,0.69
E01123,E01007,0.16
E00330,E00023,0.49
E00512,E01094,0.51
E00609,E00988,0.27
E00593,E00049,0.33
E00760,E01045,0.15
E00609,E00503,0.82
E01045,E00082,0.73
E00070,E00482,0.8
E00498,E00963,0.7
E00489,E00457,0.83
E00928,E00088,0.17
E01020,E00408,0.27
E00319,E00777,0.98
E00005,E00844,0.78
E00321,E00620,0.75
E00591,E00650,0.21
E00156,E00823,0.89
E00749,E00092,0.19
E01162,E00323,0.22
E00085,E00094,0.89
E00441,E00992,0.77
E00016,E00603,0.91
E00956,E00624,0.94
E00968,E00863,0.72
E00297,E00812,0.58
E00767,E00996,0.71
E00145,E00650,0.63
E00687,E00281,0.99
E01158,E00044,0.79
E00432,E00108,0.77
E00010,E01035,0.96
E00555,E00572,0.41
E00298,E00304,0.79
E00248,E00628,0.83
E00463,E00668,0.33
E00070,E00689,0.39
E00141,E00985,0.81
E01038,E01073,0.37
E00741,E00352,0.19
E00271,E00424,0.96
E00510,E01169,0.33
E01116,E01054,0.38
E00571,E00468,0.71
E00230,E00149,0.13
E01168,E00786,0.72
E00491,E01058,0.13
E00146,E00613,0.96
E00309,E00387,0.52
E00541,E00408,0.22
E00392,E00500,0.97
E01121,E01017,0.79
E00563,E00926,0.25
E00240,E00561,0.98
E00109,E00847,0.86
E00203,E00970,0.71
E00967,E01154,0.44
E00671,E00419,0.93
E01125,E01152,0.13
E01071,E00358,0.56
E00141,E00023,0.32
E00840,E00223,0.86
E00806,E01195,0.77
E01146,E00373,0.91
E00988,E01056,0.32
E01162,E01196,0.43
E00404,E00985,0.6
E00114,E00457,0.19
E00422,E00621,0.24
E00342,E00116,0.43
E01196,E00576,0.81
E00879,E00115,0.17
